Iterator Time:10
No.156   Length:0.921781   Redius:1.84356   LeafAmount:2   
No.157   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.158   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.159   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.160   Length:0.507661   Redius:1.01532   LeafAmount:2   
No.161   Rule:B(l*0.6,w*0.85,y*0.6)
No.162   Length:0.964301   Redius:1.9286   LeafAmount:0   
No.163   Length:0.781853   Redius:1.56371   LeafAmount:2   
No.164   Length:0.997387   Redius:1.99477   LeafAmount:0   
No.165   Length:0.798159   Redius:1.59632   LeafAmount:2   
No.166   Length:1.03084   Redius:2.06167   LeafAmount:0   
No.167   Length:0.823441   Redius:1.64688   LeafAmount:2   
No.168   Length:1.05994   Redius:2.11989   LeafAmount:0   
No.169   Length:0.859279   Redius:1.71856   LeafAmount:2   
No.170   Length:1.09031   Redius:2.18062   LeafAmount:0   
No.171   Length:0.921781   Redius:1.84356   LeafAmount:2   
No.172   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.173   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.174   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.175   Length:0.507661   Redius:1.01532   LeafAmount:2   
No.176   Rule:B(l*0.6,w*0.85,y*0.6)
No.177   Length:0.964301   Redius:1.9286   LeafAmount:0   
No.178   Length:0.781853   Redius:1.56371   LeafAmount:2   
No.179   Length:0.997387   Redius:1.99477   LeafAmount:0   
No.180   Length:0.798159   Redius:1.59632   LeafAmount:2   
No.181   Length:1.03084   Redius:2.06167   LeafAmount:0   
No.182   Length:0.823441   Redius:1.64688   LeafAmount:2   
No.183   Length:1.05994   Redius:2.11989   LeafAmount:0   
No.184   Length:0.859279   Redius:1.71856   LeafAmount:2   
No.185   Length:1.09031   Redius:2.18062   LeafAmount:0   
No.186   Length:0.921781   Redius:1.84356   LeafAmount:2   
No.187   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.188   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.189   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.190   Length:0.507661   Redius:1.01532   LeafAmount:2   
No.191   Rule:B(l*0.6,w*0.85,y*0.6)
No.192   Length:0.964301   Redius:1.9286   LeafAmount:0   
No.193   Length:0.781853   Redius:1.56371   LeafAmount:2   
No.194   Length:0.997387   Redius:1.99477   LeafAmount:0   
No.195   Length:0.798159   Redius:1.59632   LeafAmount:2   
No.196   Length:1.03084   Redius:2.06167   LeafAmount:0   
No.197   Length:0.823441   Redius:1.64688   LeafAmount:2   
No.198   Length:1.05994   Redius:2.11989   LeafAmount:0   
No.199   Length:0.859279   Redius:1.71856   LeafAmount:2   
No.200   Length:1.09031   Redius:2.18062   LeafAmount:0   
No.201   Length:0.921781   Redius:1.84356   LeafAmount:2   
No.202   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.203   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.204   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.205   Length:0.507661   Redius:1.01532   LeafAmount:2   
No.206   Rule:B(l*0.6,w*0.85,y*0.6)
No.207   Length:0.964301   Redius:1.9286   LeafAmount:0   
No.208   Length:0.781853   Redius:1.56371   LeafAmount:2   
No.209   Length:0.997387   Redius:1.99477   LeafAmount:0   
No.210   Length:0.798159   Redius:1.59632   LeafAmount:2   
No.211   Length:1.03084   Redius:2.06167   LeafAmount:0   
No.212   Length:0.823441   Redius:1.64688   LeafAmount:2   
No.213   Length:1.05994   Redius:2.11989   LeafAmount:0   
No.214   Length:0.859279   Redius:1.71856   LeafAmount:2   
No.215   Length:1.09031   Redius:2.18062   LeafAmount:0   
No.216   Length:0.921781   Redius:1.84356   LeafAmount:2   
No.217   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.218   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.219   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.220   Length:0.507661   Redius:1.01532   LeafAmount:2   
No.221   Rule:B(l*0.6,w*0.85,y*0.6)
No.222   Length:0.964301   Redius:1.9286   LeafAmount:0   
No.223   Length:0.781853   Redius:1.56371   LeafAmount:2   
No.224   Length:0.997387   Redius:1.99477   LeafAmount:0   
No.225   Length:0.798159   Redius:1.59632   LeafAmount:2   
No.226   Length:1.03084   Redius:2.06167   LeafAmount:0   
